ChannelID,VideoID,Title,ViewCount,PublishDate
UC0GP1HDhGZTLih7B89z_cTg,QGeeSVYhPs8,Singapore nightspots cashing in on digital payments,3871,2017-08-29T11:43:09Z
UC0GP1HDhGZTLih7B89z_cTg,exjqbBgWVAA,Smart City Ep 6: Smart Security,3640,2018-11-14T03:58:31Z
UC0GP1HDhGZTLih7B89z_cTg,Ep54IAqRcUo,Russia-North Korea Summit: Geopolitical bet or diplomatic win? #shorts,3656,2024-06-24T08:00:09Z
UC0GP1HDhGZTLih7B89z_cTg,fKEUb3KxN5g,Smart City Ep 4: Smart Healthcare,3495,2018-10-16T22:00:03Z
UC0GP1HDhGZTLih7B89z_cTg,vYTpYS02ris,"Agents gave kickbacks, bankers took cuts in S$3b money laundering case",3391,2024-06-14T10:00:55Z
UC0GP1HDhGZTLih7B89z_cTg,mbttXdwcVkI,Functional budget a much needed driver for transformation,3384,2021-02-17T04:44:58Z
UC0GP1HDhGZTLih7B89z_cTg,oejJ78BNZhY,BT Future of Finance : Transaction banking and trade finance  (Ep 1),3314,2022-11-10T10:44:25Z
UC0GP1HDhGZTLih7B89z_cTg,eubcjWgETnw,Up close and personal with Penfolds chief winemaker Peter Gago,3289,2017-06-15T04:08:24Z
UC0GP1HDhGZTLih7B89z_cTg,swzBsIufF8E,Can Anwar fix Malaysia’s economy?,3185,2022-12-06T09:00:36Z
UC0GP1HDhGZTLih7B89z_cTg,EBUu25Xj1GM,My SME Story Ep 2: Big Tiny,3089,2019-02-12T04:18:29Z
UC0GP1HDhGZTLih7B89z_cTg,v9CSewJmut0,"Ching Chiat Kwong, Oxley Holdings Ltd: CEO Conversations",2810,2017-07-26T07:57:59Z
UC0GP1HDhGZTLih7B89z_cTg,G43BmC92Xn0,Nirmal Sethia talks about the business of tea,2781,2017-07-10T05:36:31Z
UC0GP1HDhGZTLih7B89z_cTg,jfZn1tSwYvA,How the Wagner mutiny exposed risks for China,2764,2023-06-28T10:00:28Z
UC0GP1HDhGZTLih7B89z_cTg,LOny2IQKENc,"BT45: Koh Ching Ching, OCBC Bank",2757,2021-10-14T09:00:10Z
UC0GP1HDhGZTLih7B89z_cTg,tW1cYEHHrFo,"Top priorities for Singapore’s next prime minister, Lawrence Wong?",2620,2024-04-17T08:30:16Z
